index,year,rating
0,1920,6.033333333333334
1,1922,5.449999999999999
2,1923,7.4
3,1924,5.0
4,1925,5.875
5,1926,5.35
6,1927,4.9
7,1929,5.9
8,1930,5.180000000000001
9,1931,4.933333333333334
10,1932,5.3500000000000005
11,1933,5.659999999999999
12,1934,6.349999999999999
13,1935,6.153333333333334
14,1936,6.058620689655172
15,1937,6.033333333333334
16,1938,5.96
17,1939,5.866666666666667
18,1940,5.75625
19,1941,5.504545454545454
20,1942,6.65
21,1943,5.747619047619047
22,1944,6.483333333333333
23,1945,6.014285714285713
24,1946,6.142857142857143
25,1947,5.872727272727274
26,1948,6.093333333333333
27,1949,6.1000000000000005
28,1950,6.380952380952381
29,1951,6.277777777777779
30,1952,5.59375
31,1953,5.90952380952381
32,1954,6.219999999999999
33,1955,5.611111111111111
34,1956,5.317647058823529
35,1957,5.5200000000000005
36,1958,6.533333333333333
37,1959,5.883333333333334
38,1960,5.666666666666667
39,1961,6.218181818181819
40,1962,6.525000000000001
41,1963,5.870000000000001
42,1964,5.946153846153846
43,1965,5.311111111111111
44,1966,6.4
45,1967,5.4823529411764715
46,1968,6.005263157894737
47,1969,5.95625
48,1970,6.135999999999999
49,1971,5.2
50,1972,6.029999999999999
51,1973,6.18235294117647
52,1974,5.9750000000000005
53,1975,5.929629629629629
54,1976,6.108333333333333
55,1977,6.142857142857144
56,1978,5.773913043478261
57,1979,5.7875
58,1980,5.744000000000001
59,1981,5.886363636363637
60,1982,5.882352941176471
61,1983,5.800000000000001
62,1984,6.207142857142858
63,1985,5.9607142857142845
64,1986,5.8325
65,1987,5.778787878787878
66,1988,6.106818181818183
67,1989,6.173333333333332
68,1990,5.8875
69,1991,5.875555555555557
70,1992,5.8982142857142845
71,1993,6.217543859649124
72,1994,6.06190476190476
73,1995,6.022222222222224
74,1996,5.804838709677418
75,1997,5.9847457627118645
76,1998,5.9084745762711846
77,1999,6.0874999999999995
78,2000,6.018518518518518
79,2001,5.876829268292682
80,2002,6.140217391304348
81,2003,5.7333333333333325
82,2004,6.041747572815533
83,2005,5.885714285714286
84,2006,6.031884057971015
85,2007,5.870454545454546
86,2008,6.259649122807016
87,2009,5.845637583892619
88,2010,5.977956989247317
89,2011,5.940079365079366
90,2012,5.986111111111112
91,2013,6.066782006920417
92,2014,5.856777493606139
93,2015,5.9187830687830685
94,2016,5.904606525911707
95,2017,5.933985765124557
96,2018,5.932744783306579
97,2019,5.988912809472553
98,2020,5.881288981288979
99,2021,5.9956310679611615
